model,kind,pr_auc,average_precision,roc_auc,precision,recall,f1,mcc,brier,ece,threshold,tn,fp,fn,tp,fp_per_million,target_fp_per_million,allowed_fp
lamar_linear_probe_cls,fp_workpoint,0.014849861698263259,0.005296509085721553,0.79827072543618,0.0,0.0,0.0,0.0,0.000995362193041801,2.168404344971009e-19,0.02173913043478261,165000,0,165,0,0.0,500.0,82.0
lamar_linear_probe_cls,fp_workpoint,0.014849861698263259,0.005296509085721553,0.79827072543618,0.021739130434782608,0.01818181818181818,0.019801980198019802,0.01898486794930164,0.000995362193041801,2.168404344971009e-19,0.01550387596899225,164865,135,162,3,818.1818181818181,1000.0,165.0
lamar_linear_probe_cls,fixed_threshold,0.014849861698263259,0.005296509085721553,0.79827072543618,0.016359918200409,0.09696969696969697,0.02799650043744532,0.037527641339985034,0.000995362193041801,2.168404344971009e-19,0.01,164038,962,149,16,5830.30303030303,,
lamar_linear_probe_cls,fixed_threshold,0.014849861698263259,0.005296509085721553,0.79827072543618,0.0,0.0,0.0,0.0,0.000995362193041801,2.168404344971009e-19,0.05,165000,0,165,0,0.0,,
lamar_linear_probe_cls,fixed_threshold,0.014849861698263259,0.005296509085721553,0.79827072543618,0.0,0.0,0.0,0.0,0.000995362193041801,2.168404344971009e-19,0.1,165000,0,165,0,0.0,,
lamar_linear_probe_cls,fixed_threshold,0.014849861698263259,0.005296509085721553,0.79827072543618,0.0,0.0,0.0,0.0,0.000995362193041801,2.168404344971009e-19,0.2,165000,0,165,0,0.0,,
lamar_linear_probe_cls,fixed_threshold,0.014849861698263259,0.005296509085721553,0.79827072543618,0.0,0.0,0.0,0.0,0.000995362193041801,2.168404344971009e-19,0.5,165000,0,165,0,0.0,,
lamar_linear_probe_masked_mean,fp_workpoint,0.01208363177292438,0.006719021067133844,0.8091760146923783,0.0,0.0,0.0,0.0,0.0009942362476143872,0.0,0.05555555555555556,165000,0,165,0,0.0,10.0,1.0
lamar_linear_probe_masked_mean,fp_workpoint,0.01208363177292438,0.006719021067133844,0.8091760146923783,0.0,0.0,0.0,0.0,0.0009942362476143872,0.0,0.05555555555555556,165000,0,165,0,0.0,50.0,8.0
lamar_linear_probe_masked_mean,fp_workpoint,0.01208363177292438,0.006719021067133844,0.8091760146923783,0.0,0.0,0.0,0.0,0.0009942362476143872,0.0,0.05555555555555556,165000,0,165,0,0.0,100.0,16.0
